name	age	gender	start_second	end_second	label	P	A	Extraversion	Agreeableness	Conscientiousness	Negative_Emotionality	Open_Mindedness
01	72	0	202	203	sur	0.2	0.45	44	36	37	48	42
01	72	0	203	204	dis	-0.4	0.2	44	36	37	48	42
01	72	0	204	205	ang	-0.51	0.59	44	36	37	48	42
01	72	0	205	206	sur	0.2	0.45	44	36	37	48	42
01	72	0	206	207	sur	0.2	0.45	44	36	37	48	42
01	72	0	207	208	sur	0.2	0.45	44	36	37	48	42
01	72	0	208	209	sur	0.2	0.45	44	36	37	48	42
01	72	0	209	210	sur	0.2	0.45	44	36	37	48	42
01	72	0	210	211	sur	0.2	0.45	44	36	37	48	42
01	72	0	211	212	sur	0.2	0.45	44	36	37	48	42
01	72	0	212	213	sur	0.2	0.45	44	36	37	48	42
01	72	0	213	214	sur	0.2	0.45	44	36	37	48	42
01	72	0	214	215	sur	0.2	0.45	44	36	37	48	42
01	72	0	215	216	sur	0.2	0.45	44	36	37	48	42
01	72	0	216	217	sur	0.2	0.45	44	36	37	48	42
01	72	0	217	218	sur	0.2	0.45	44	36	37	48	42
01	72	0	218	219	sur	0.2	0.45	44	36	37	48	42
01	72	0	219	220	sur	0.2	0.45	44	36	37	48	42
01	72	0	220	221	sur	0.2	0.45	44	36	37	48	42
01	72	0	221	222	dis	-0.4	0.2	44	36	37	48	42
01	72	0	222	223	sur	0.2	0.45	44	36	37	48	42
01	72	0	223	224	sur	0.2	0.45	44	36	37	48	42
01	72	0	224	225	sur	0.2	0.45	44	36	37	48	42
01	72	0	225	226	sur	0.2	0.45	44	36	37	48	42
01	72	0	226	227	sur	0.2	0.45	44	36	37	48	42
01	72	0	227	228	sur	0.2	0.45	44	36	37	48	42
01	72	0	228	229	sur	0.2	0.45	44	36	37	48	42
01	72	0	229	230	sur	0.2	0.45	44	36	37	48	42
01	72	0	230	231	sur	0.2	0.45	44	36	37	48	42
01	72	0	231	232	sur	0.2	0.45	44	36	37	48	42
01	72	0	232	233	sur	0.2	0.45	44	36	37	48	42
01	72	0	233	234	sur	0.2	0.45	44	36	37	48	42
01	72	0	234	235	sur	0.2	0.45	44	36	37	48	42
01	72	0	235	236	sur	0.2	0.45	44	36	37	48	42
01	72	0	236	237	sur	0.2	0.45	44	36	37	48	42
01	72	0	237	238	sur	0.2	0.45	44	36	37	48	42
01	72	0	238	239	sur	0.2	0.45	44	36	37	48	42
01	72	0	239	240	sur	0.2	0.45	44	36	37	48	42
01	72	0	240	241	sur	0.2	0.45	44	36	37	48	42
01	72	0	241	242	sur	0.2	0.45	44	36	37	48	42
01	72	0	242	243	sur	0.2	0.45	44	36	37	48	42
01	72	0	243	244	sur	0.2	0.45	44	36	37	48	42
01	72	0	244	245	sur	0.2	0.45	44	36	37	48	42
01	72	0	245	246	dis	-0.4	0.2	44	36	37	48	42
01	72	0	246	247	sur	0.2	0.45	44	36	37	48	42
01	72	0	247	248	sur	0.2	0.45	44	36	37	48	42
01	72	0	248	249	ang	-0.51	0.59	44	36	37	48	42
01	72	0	249	250	ang	-0.51	0.59	44	36	37	48	42
01	72	0	250	251	ang	-0.51	0.59	44	36	37	48	42
01	72	0	251	252	sur	0.2	0.45	44	36	37	48	42
01	72	0	252	253	sur	0.2	0.45	44	36	37	48	42
01	72	0	253	254	sur	0.2	0.45	44	36	37	48	42
01	72	0	254	255	sur	0.2	0.45	44	36	37	48	42
01	72	0	255	256	sur	0.2	0.45	44	36	37	48	42
01	72	0	256	257	sur	0.2	0.45	44	36	37	48	42
01	72	0	257	258	sur	0.2	0.45	44	36	37	48	42
01	72	0	258	259	sur	0.2	0.45	44	36	37	48	42
01	72	0	259	260	sur	0.2	0.45	44	36	37	48	42
01	72	0	260	261	sur	0.2	0.45	44	36	37	48	42
01	72	0	261	262	dis	-0.4	0.2	44	36	37	48	42
01	72	0	262	263	sur	0.2	0.45	44	36	37	48	42
01	72	0	263	264	sur	0.2	0.45	44	36	37	48	42
